Index,brand,milage,fuel_type,transmission,ext_col,int_col,accident,clean_title,price,car_age,horsepower,engine_size,cylinder_count
2162,RAM,76249,Gasoline,Automatic,Black,Brown,Accident reported,,40995,5,,5.7,
2402,Chevrolet,44800,Gasoline,Automatic,Black,Black,None reported,Yes,52500,5,420.0,6.2,8.0
2271,Jeep,140000,Gasoline,Automatic,Silver,Other,Accident reported,Yes,9000,16,202.0,3.8,6.0
3225,Cadillac,225000,Gasoline,Automatic,Blue,Black,None reported,Yes,13600,11,202.0,2.5,4.0
1137,Cadillac,63172,Gasoline,Automatic,Black,Black,Accident reported,Yes,12995,11,202.0,2.5,4.0
2554,Porsche,23700,Gasoline,Unknown,Black,Black,None reported,Yes,144940,9,475.0,3.8,6.0
3769,BMW,38000,Gasoline,Automatic,White,Black,None reported,Yes,60500,6,453.0,3.0,6.0
3789,Mazda,155500,Gasoline,Automatic,Blue,Black,Accident reported,Yes,6800,16,212.0,1.3,
1711,BMW,117660,Gasoline,Automatic,White,Black,Accident reported,Yes,19500,8,320.0,3.0,6.0
3307,Nissan,185000,Gasoline,Automatic,White,Grey,Accident reported,Yes,7500,13,260.0,3.5,6.0
453,Land,79500,Gasoline,Automatic,White,Black,None reported,Yes,19000,8,240.0,2.0,4.0
913,Bentley,57800,Gasoline,Automatic,Blue,Other,,,59400,15,600.0,6.0,12.0
2677,Rivian,542,,Automatic,Black,Black,None reported,Yes,92500,1,835.0,,
1199,Porsche,78000,Gasoline,Unknown,Brown,Brown,None reported,Yes,68000,10,350.0,3.4,6.0
1274,Subaru,44000,Gasoline,Manual,Red,Black,None reported,Yes,23500,7,152.0,2.0,4.0
37,Audi,125575,Gasoline,Automatic,Silver,Black,None reported,Yes,8999,12,211.0,2.0,4.0
974,Lexus,68500,Gasoline,Manual,Black,Other,None reported,Yes,18500,14,204.0,2.5,6.0
983,Land,19000,Hybrid,Unknown,Silver,Black,,,74900,4,395.0,3.0,6.0
2670,Nissan,30700,Gasoline,Manual,Black,Black,Accident reported,Yes,21500,8,215.0,1.6,4.0
1418,Subaru,91000,Gasoline,Manual,Red,Black,Accident reported,Yes,19000,9,268.0,2.0,4.0
1560,BMW,46150,Gasoline,Unknown,Silver,Black,Accident reported,Yes,17000,11,306.0,3.0,6.0
39,BMW,70000,Gasoline,Automatic,White,Other,Accident reported,Yes,20000,10,240.0,2.0,4.0
1486,Ford,3400,Gasoline,Automatic,Grey,Grey,None reported,Yes,57000,1,275.0,2.3,4.0
2550,Toyota,8800,Gasoline,Automatic,Silver,Black,None reported,Yes,68500,1,389.0,3.4,6.0
169,Ford,129000,Gasoline,Automatic,White,Grey,Accident reported,Yes,7000,12,171.0,2.5,4.0
1355,Toyota,233000,Unknown,Automatic,Blue,Grey,None reported,Yes,7500,28,,,
2672,Chevrolet,139116,Gasoline,Automatic,Red,Black,Accident reported,Yes,24899,5,,3.6,
3602,Scion,95426,Gasoline,Automatic,Green,Grey,None reported,Yes,8000,13,158.0,2.4,4.0
2622,Mercedes-Benz,150000,Gasoline,Automatic,Black,Black,None reported,Yes,8000,17,382.0,5.5,8.0
2634,Genesis,29720,Gasoline,Automatic,Brown,Other,None reported,Yes,29500,7,311.0,3.8,6.0
1640,Honda,40069,Gasoline,Automatic,White,Black,Accident reported,Yes,27500,5,252.0,2.0,4.0
1290,Hyundai,154000,Hybrid,Automatic,Green,Grey,Accident reported,Yes,8500,12,206.0,2.4,4.0
1380,GMC,137500,Gasoline,Automatic,Black,Black,Accident reported,Yes,29500,8,420.0,6.2,8.0
1933,Acura,56778,Hybrid,Automatic,Black,Black,None reported,Yes,41899,5,321.0,3.0,6.0
579,Lexus,14206,Gasoline,Automatic,Black,Black,None reported,Yes,98000,3,383.0,5.7,8.0
2030,RAM,24000,Hybrid,Automatic,Silver,Black,None reported,Yes,42000,3,395.0,5.7,8.0
892,INFINITI,33500,Gasoline,Automatic,Black,Black,None reported,Yes,23000,10,330.0,3.7,6.0
780,BMW,13700,Hybrid,Automatic,Black,Other,,,60000,3,382.0,3.0,6.0
159,Toyota,202055,Gasoline,Automatic,Silver,Grey,Accident reported,Yes,8500,16,236.0,4.0,6.0
2,Lexus,22372,Gasoline,Automatic,Blue,Black,None reported,,54598,2,,,
3842,RAM,15741,Gasoline,Automatic,Red,Black,None reported,,45999,2,,5.7,
3299,Dodge,54320,Gasoline,Automatic,Grey,Black,Accident reported,Yes,67000,4,707.0,6.2,8.0
849,Volvo,46250,Gasoline,Automatic,White,Other,Accident reported,Yes,27800,4,,2.0,
2408,McLaren,30200,Gasoline,Unknown,Orange,Black,None reported,Yes,139000,7,562.0,3.8,8.0
1596,Ford,22169,Gasoline,Automatic,Black,Other,None reported,Yes,57352,2,,3.5,
1776,Nissan,60747,Gasoline,Automatic,White,Other,Accident reported,Yes,71999,15,480.0,3.8,6.0
1913,Kia,8263,Gasoline,Automatic,Grey,White,None reported,Yes,29000,3,180.0,1.6,4.0
1043,GMC,9978,Gasoline,Automatic,White,Gold,None reported,Yes,93999,1,420.0,6.2,8.0
1544,Rivian,299,,Automatic,Blue,Grey,None reported,Yes,92500,1,835.0,,
2439,Mercedes-Benz,69600,Gasoline,Automatic,Black,Black,None reported,Yes,40888,6,362.0,3.0,6.0
53,Porsche,39000,Gasoline,Automatic,Blue,Black,None reported,Yes,73000,11,400.0,3.8,6.0
3861,Ford,42000,Gasoline,Automatic,White,Other,,,19000,4,181.0,1.5,3.0
1911,Porsche,18000,,Automatic,Silver,Black,None reported,Yes,105000,4,616.0,,
2830,Mercedes-Benz,93000,Gasoline,Automatic,Grey,Other,Accident reported,Yes,11900,13,335.0,4.7,8.0
